render,scene,backend,integrator,sampler,resolution,spp,max depth,rr depth,spectrum,time consumption
LuisaRender,classroom,cuda,WavePath,Independent,"(1920, 1080)",1024,16,5,RGB,28.7s
LuisaRender,classroom,cuda,WavePath,Independent,"(1920, 1080)",1024,16,5,Spectral,40.4s
LuisaRender,classroom,directX,WavePath,Independent,"(1920, 1080)",1024,16,5,RGB,23.5s
LuisaRender,classroom,directX,WavePath,Independent,"(1920, 1080)",1024,16,5,Spectral,30.1s
LuisaRender,classroom,cuda,MegaPath,Independent,"(1920, 1080)",1024,16,5,RGB,34.4s
LuisaRender,classroom,cuda,MegaPath,Independent,"(1920, 1080)",1024,16,5,Spectral,74.3s
LuisaRender,classroom,directX,MegaPath,Independent,"(1920, 1080)",1024,16,5,RGB,19.9s
LuisaRender,classroom,directX,MegaPath,Independent,"(1920, 1080)",1024,16,5,Spectral,38.4s
LuisaRender,dining-room,cuda,WavePath,Independent,"(1920, 1080)",1024,16,5,RGB,18.8s
LuisaRender,dining-room,cuda,WavePath,Independent,"(1920, 1080)",1024,16,5,Spectral,25.8s
LuisaRender,dining-room,directX,WavePath,Independent,"(1920, 1080)",1024,16,5,RGB,16.8s
LuisaRender,dining-room,directX,WavePath,Independent,"(1920, 1080)",1024,16,5,Spectral,22.0s
LuisaRender,dining-room,cuda,MegaPath,Independent,"(1920, 1080)",1024,16,5,RGB,19.2s
LuisaRender,dining-room,cuda,MegaPath,Independent,"(1920, 1080)",1024,16,5,Spectral,45.1s
LuisaRender,dining-room,directX,MegaPath,Independent,"(1920, 1080)",1024,16,5,RGB,11.1s
LuisaRender,dining-room,directX,MegaPath,Independent,"(1920, 1080)",1024,16,5,Spectral,23.6s
LuisaRender,coffee,cuda,WavePath,Independent,"(800, 1000)",1024,16,5,RGB,3.2s
LuisaRender,coffee,cuda,WavePath,Independent,"(800, 1000)",1024,16,5,Spectral,4.9s
LuisaRender,coffee,directX,WavePath,Independent,"(800, 1000)",1024,16,5,RGB,2.7s
LuisaRender,coffee,directX,WavePath,Independent,"(800, 1000)",1024,16,5,Spectral,3.1s
LuisaRender,coffee,cuda,MegaPath,Independent,"(800, 1000)",1024,16,5,RGB,4.1s
LuisaRender,coffee,cuda,MegaPath,Independent,"(800, 1000)",1024,16,5,Spectral,8.6s
LuisaRender,coffee,directX,MegaPath,Independent,"(800, 1000)",1024,16,5,RGB,3.9s
LuisaRender,coffee,directX,MegaPath,Independent,"(800, 1000)",1024,16,5,Spectral,5.2s
LuisaRender,glass-of-water,cuda,WavePath,Independent,"(1920, 1080)",1024,16,5,RGB,19.2s
LuisaRender,glass-of-water,cuda,WavePath,Independent,"(1920, 1080)",1024,16,5,Spectral,25.7s
LuisaRender,glass-of-water,directX,WavePath,Independent,"(1920, 1080)",1024,16,5,RGB,10.0s
LuisaRender,glass-of-water,directX,WavePath,Independent,"(1920, 1080)",1024,16,5,Spectral,6.5s
LuisaRender,glass-of-water,cuda,MegaPath,Independent,"(1920, 1080)",1024,16,5,RGB,16.6s
LuisaRender,glass-of-water,cuda,MegaPath,Independent,"(1920, 1080)",1024,16,5,Spectral,36.4s
LuisaRender,glass-of-water,directX,MegaPath,Independent,"(1920, 1080)",1024,16,5,RGB,10.5s
LuisaRender,glass-of-water,directX,MegaPath,Independent,"(1920, 1080)",1024,16,5,Spectral,13.1s
LuisaRender,living-room,cuda,WavePath,Independent,"(1920, 1080)",1024,16,5,RGB,26.8s
LuisaRender,living-room,cuda,WavePath,Independent,"(1920, 1080)",1024,16,5,Spectral,37.5s
LuisaRender,living-room,directX,WavePath,Independent,"(1920, 1080)",1024,16,5,RGB,20.8s
LuisaRender,living-room,directX,WavePath,Independent,"(1920, 1080)",1024,16,5,Spectral,23.2s
LuisaRender,living-room,cuda,MegaPath,Independent,"(1920, 1080)",1024,16,5,RGB,24.2s
LuisaRender,living-room,cuda,MegaPath,Independent,"(1920, 1080)",1024,16,5,Spectral,51.5s
LuisaRender,living-room,directX,MegaPath,Independent,"(1920, 1080)",1024,16,5,RGB,14.6s
LuisaRender,living-room,directX,MegaPath,Independent,"(1920, 1080)",1024,16,5,Spectral,25.0s
LuisaRender,spaceship,cuda,WavePath,Independent,"(1920, 1080)",1024,16,5,RGB,10.7s
